Indicator Category,Indicator,Year,Gender,Race/ Ethnicity,Value,Place
"Nutrition, Physical Activity, & Obesity","Heart Disease Mortality Rate (Age-Adjusted; Per 100,000 people)",2013,Both,All,106.4,"Phoenix, AZ"
"Nutrition, Physical Activity, & Obesity","Heart Disease Mortality Rate (Age-Adjusted; Per 100,000 people)",2012,Male,All,107.1,"Phoenix, AZ"
"Nutrition, Physical Activity, & Obesity","Heart Disease Mortality Rate (Age-Adjusted; Per 100,000 people)",2012,Female,All,98.3,"Phoenix, AZ"
"Nutrition, Physical Activity, & Obesity","Heart Disease Mortality Rate (Age-Adjusted; Per 100,000 people)",2012,Both,All,103.7,"Phoenix, AZ"
"Nutrition, Physical Activity, & Obesity","Heart Disease Mortality Rate (Age-Adjusted; Per 100,000 people)",2011,Male,All,109.4,"Phoenix, AZ"
"Nutrition, Physical Activity, & Obesity","Heart Disease Mortality Rate (Age-Adjusted; Per 100,000 people)",2011,Female,All,93.4,"Phoenix, AZ"
"Nutrition, Physical Activity, & Obesity","Heart Disease Mortality Rate (Age-Adjusted; Per 100,000 people)",2011,Both,All,102.6,"Phoenix, AZ"
"Nutrition, Physical Activity, & Obesity","Heart Disease Mortality Rate (Age-Adjusted; Per 100,000 people)",2010,Male,All,96.2,"Phoenix, AZ"
"Nutrition, Physical Activity, & Obesity","Heart Disease Mortality Rate (Age-Adjusted; Per 100,000 people)",2010,Female,All,93.8,"Phoenix, AZ"
"Nutrition, Physical Activity, & Obesity","Heart Disease Mortality Rate (Age-Adjusted; Per 100,000 people)",2010,Both,All,95.5,"Phoenix, AZ"
"Nutrition, Physical Activity, & Obesity","Heart Disease Mortality Rate (Age-Adjusted; Per 100,000 people)",2013,Both,Asian/PI,47.3,"Phoenix, AZ"
"Nutrition, Physical Activity, & Obesity","Heart Disease Mortality Rate (Age-Adjusted; Per 100,000 people)",2012,Both,Asian/PI,42.9,"Phoenix, AZ"
"Nutrition, Physical Activity, & Obesity","Heart Disease Mortality Rate (Age-Adjusted; Per 100,000 people)",2011,Both,Asian/PI,44.6,"Phoenix, AZ"
"Nutrition, Physical Activity, & Obesity","Heart Disease Mortality Rate (Age-Adjusted; Per 100,000 people)",2010,Both,Asian/PI,39,"Phoenix, AZ"
"Nutrition, Physical Activity, & Obesity","Heart Disease Mortality Rate (Age-Adjusted; Per 100,000 people)",2013,Both,Black,110.8,"Phoenix, AZ"
"Nutrition, Physical Activity, & Obesity","Heart Disease Mortality Rate (Age-Adjusted; Per 100,000 people)",2012,Both,Black,131.6,"Phoenix, AZ"
"Nutrition, Physical Activity, & Obesity","Heart Disease Mortality Rate (Age-Adjusted; Per 100,000 people)",2011,Both,Black,109.1,"Phoenix, AZ"
"Nutrition, Physical Activity, & Obesity","Heart Disease Mortality Rate (Age-Adjusted; Per 100,000 people)",2010,Both,Black,98.1,"Phoenix, AZ"
"Nutrition, Physical Activity, & Obesity","Heart Disease Mortality Rate (Age-Adjusted; Per 100,000 people)",2013,Both,Hispanic,29.7,"Phoenix, AZ"
Maternal and Child Health,Percent of Low Birth Weight Babies Born,2012,Both,Black,10.2,"Portland (Multnomah County), OR"
"Nutrition, Physical Activity, & Obesity","Heart Disease Mortality Rate (Age-Adjusted; Per 100,000 people)",2012,Both,Hispanic,31.8,"Phoenix, AZ"
"Nutrition, Physical Activity, & Obesity","Heart Disease Mortality Rate (Age-Adjusted; Per 100,000 people)",2011,Both,Hispanic,28,"Phoenix, AZ"
"Nutrition, Physical Activity, & Obesity","Heart Disease Mortality Rate (Age-Adjusted; Per 100,000 people)",2010,Both,Hispanic,0,"Phoenix, AZ"
"Nutrition, Physical Activity, & Obesity","Heart Disease Mortality Rate (Age-Adjusted; Per 100,000 people)",2013,Both,Multiracial,24.6,"Phoenix, AZ"
"Nutrition, Physical Activity, & Obesity","Heart Disease Mortality Rate (Age-Adjusted; Per 100,000 people)",2012,Both,Multiracial,14.3,"Phoenix, AZ"
"Nutrition, Physical Activity, & Obesity","Heart Disease Mortality Rate (Age-Adjusted; Per 100,000 people)",2011,Both,Multiracial,30.3,"Phoenix, AZ"
"Nutrition, Physical Activity, & Obesity","Heart Disease Mortality Rate (Age-Adjusted; Per 100,000 people)",2010,Both,Multiracial,0,"Phoenix, AZ"
"Nutrition, Physical Activity, & Obesity","Heart Disease Mortality Rate (Age-Adjusted; Per 100,000 people)",2013,Both,Native American,36.5,"Phoenix, AZ"
"Nutrition, Physical Activity, & Obesity","Heart Disease Mortality Rate (Age-Adjusted; Per 100,000 people)",2012,Both,Native American,33.4,"Phoenix, AZ"
"Nutrition, Physical Activity, & Obesity","Heart Disease Mortality Rate (Age-Adjusted; Per 100,000 people)",2011,Both,Native American,14.9,"Phoenix, AZ"
"Nutrition, Physical Activity, & Obesity","Heart Disease Mortality Rate (Age-Adjusted; Per 100,000 people)",2010,Both,Native American,42.1,"Phoenix, AZ"
"Nutrition, Physical Activity, & Obesity","Heart Disease Mortality Rate (Age-Adjusted; Per 100,000 people)",2013,Both,Other,3,"Phoenix, AZ"
"Nutrition, Physical Activity, & Obesity","Heart Disease Mortality Rate (Age-Adjusted; Per 100,000 people)",2012,Both,Other,2.1,"Phoenix, AZ"
Maternal and Child Health,Percent of Low Birth Weight Babies Born,2011,Both,White,6.3,"Washington, DC"
"Nutrition, Physical Activity, & Obesity","Heart Disease Mortality Rate (Age-Adjusted; Per 100,000 people)",2011,Both,Other,3.6,"Phoenix, AZ"
"Nutrition, Physical Activity, & Obesity","Heart Disease Mortality Rate (Age-Adjusted; Per 100,000 people)",2010,Both,Other,1.6,"Phoenix, AZ"
"Nutrition, Physical Activity, & Obesity","Heart Disease Mortality Rate (Age-Adjusted; Per 100,000 people)",2013,Both,White,151.8,"Phoenix, AZ"
"Nutrition, Physical Activity, & Obesity","Heart Disease Mortality Rate (Age-Adjusted; Per 100,000 people)",2012,Both,White,150.9,"Phoenix, AZ"
"Nutrition, Physical Activity, & Obesity","Heart Disease Mortality Rate (Age-Adjusted; Per 100,000 people)",2011,Both,White,153.2,"Phoenix, AZ"
"Nutrition, Physical Activity, & Obesity","Heart Disease Mortality Rate (Age-Adjusted; Per 100,000 people)",2010,Both,White,170.5,"Phoenix, AZ"
HIV/AIDS,"HIV Diagnoses Rate (Per 100,000 people)",2014,Male,All,30.2,"Phoenix, AZ"
HIV/AIDS,"HIV Diagnoses Rate (Per 100,000 people)",2014,Female,All,6.2,"Phoenix, AZ"
HIV/AIDS,"HIV Diagnoses Rate (Per 100,000 people)",2014,Both,All,18.3,"Phoenix, AZ"
HIV/AIDS,"HIV Diagnoses Rate (Per 100,000 people)",2013,Male,All,24.4,"Phoenix, AZ"
HIV/AIDS,"HIV Diagnoses Rate (Per 100,000 people)",2013,Female,All,4.2,"Phoenix, AZ"
HIV/AIDS,"HIV Diagnoses Rate (Per 100,000 people)",2013,Both,All,14.3,"Phoenix, AZ"
HIV/AIDS,"HIV Diagnoses Rate (Per 100,000 people)",2012,Male,All,25.6,"Phoenix, AZ"
HIV/AIDS,"HIV Diagnoses Rate (Per 100,000 people)",2012,Female,All,4.9,"Phoenix, AZ"
HIV/AIDS,"HIV Diagnoses Rate (Per 100,000 people)",2012,Both,All,15.3,"Phoenix, AZ"
Maternal and Child Health,Percent of Mothers Under Age 20,2011,Female,All,9.8,"Washington, DC"
HIV/AIDS,"HIV Diagnoses Rate (Per 100,000 people)",2013,Both,Asian/PI,4.3,"Phoenix, AZ"
HIV/AIDS,"HIV Diagnoses Rate (Per 100,000 people)",2012,Both,Asian/PI,8.6,"Phoenix, AZ"
HIV/AIDS,"HIV Diagnoses Rate (Per 100,000 people)",2014,Both,Black,54.3,"Phoenix, AZ"
HIV/AIDS,"HIV Diagnoses Rate (Per 100,000 people)",2013,Both,Black,44.7,"Phoenix, AZ"
HIV/AIDS,"HIV Diagnoses Rate (Per 100,000 people)",2012,Both,Black,42.6,"Phoenix, AZ"
HIV/AIDS,"HIV Diagnoses Rate (Per 100,000 people)",2014,Both,Hispanic,16.3,"Phoenix, AZ"
HIV/AIDS,"HIV Diagnoses Rate (Per 100,000 people)",2013,Both,Hispanic,12.7,"Phoenix, AZ"
HIV/AIDS,"HIV Diagnoses Rate (Per 100,000 people)",2012,Both,Hispanic,14.9,"Phoenix, AZ"
HIV/AIDS,"HIV Diagnoses Rate (Per 100,000 people)",2014,Both,Native American,484.3,"Phoenix, AZ"
HIV/AIDS,"HIV Diagnoses Rate (Per 100,000 people)",2013,Both,Native American,276.7,"Phoenix, AZ"
HIV/AIDS,"HIV Diagnoses Rate (Per 100,000 people)",2012,Both,Native American,345.9,"Phoenix, AZ"
HIV/AIDS,"HIV Diagnoses Rate (Per 100,000 people)",2014,Both,Other,4.9,"Phoenix, AZ"
HIV/AIDS,"HIV Diagnoses Rate (Per 100,000 people)",2012,Both,Other,4.9,"Phoenix, AZ"
HIV/AIDS,"HIV Diagnoses Rate (Per 100,000 people)",2014,Both,White,14.3,"Phoenix, AZ"
HIV/AIDS,"HIV Diagnoses Rate (Per 100,000 people)",2013,Both,White,11.9,"Phoenix, AZ"
HIV/AIDS,"HIV Diagnoses Rate (Per 100,000 people)",2012,Both,White,11.4,"Phoenix, AZ"
HIV/AIDS,"HIV-Related Mortality Rate (Age-Adjusted; Per 100,000 people)",2014,Male,All,8.8,"Phoenix, AZ"
HIV/AIDS,"HIV-Related Mortality Rate (Age-Adjusted; Per 100,000 people)",2014,Female,All,1.1,"Phoenix, AZ"
HIV/AIDS,"HIV-Related Mortality Rate (Age-Adjusted; Per 100,000 people)",2014,Both,All,5,"Phoenix, AZ"
HIV/AIDS,"HIV-Related Mortality Rate (Age-Adjusted; Per 100,000 people)",2013,Male,All,10.1,"Phoenix, AZ"
HIV/AIDS,"HIV-Related Mortality Rate (Age-Adjusted; Per 100,000 people)",2013,Female,All,1.2,"Phoenix, AZ"
HIV/AIDS,"HIV-Related Mortality Rate (Age-Adjusted; Per 100,000 people)",2013,Both,All,5.7,"Phoenix, AZ"
HIV/AIDS,"HIV-Related Mortality Rate (Age-Adjusted; Per 100,000 people)",2012,Male,All,11,"Phoenix, AZ"
HIV/AIDS,"HIV-Related Mortality Rate (Age-Adjusted; Per 100,000 people)",2012,Female,All,1.7,"Phoenix, AZ"
HIV/AIDS,"HIV-Related Mortality Rate (Age-Adjusted; Per 100,000 people)",2012,Both,All,6.4,"Phoenix, AZ"
HIV/AIDS,"HIV-Related Mortality Rate (Age-Adjusted; Per 100,000 people)",2014,Both,Asian/PI,2.2,"Phoenix, AZ"
HIV/AIDS,"HIV-Related Mortality Rate (Age-Adjusted; Per 100,000 people)",2013,Both,Asian/PI,0,"Phoenix, AZ"
HIV/AIDS,"HIV-Related Mortality Rate (Age-Adjusted; Per 100,000 people)",2012,Both,Asian/PI,4.3,"Phoenix, AZ"
HIV/AIDS,"HIV-Related Mortality Rate (Age-Adjusted; Per 100,000 people)",2014,Both,Black,16,"Phoenix, AZ"
HIV/AIDS,"HIV-Related Mortality Rate (Age-Adjusted; Per 100,000 people)",2013,Both,Black,18.1,"Phoenix, AZ"
HIV/AIDS,"HIV-Related Mortality Rate (Age-Adjusted; Per 100,000 people)",2012,Both,Black,19.2,"Phoenix, AZ"
HIV/AIDS,"HIV-Related Mortality Rate (Age-Adjusted; Per 100,000 people)",2014,Both,Hispanic,2.5,"Phoenix, AZ"
Maternal and Child Health,Percent of Mothers Under Age 20,2012,Female,All,8.5,"Washington, DC"
HIV/AIDS,"HIV-Related Mortality Rate (Age-Adjusted; Per 100,000 people)",2013,Both,Hispanic,2.2,"Phoenix, AZ"
HIV/AIDS,"HIV-Related Mortality Rate (Age-Adjusted; Per 100,000 people)",2012,Both,Hispanic,3,"Phoenix, AZ"
HIV/AIDS,"HIV-Related Mortality Rate (Age-Adjusted; Per 100,000 people)",2014,Both,Native American,34.6,"Phoenix, AZ"
HIV/AIDS,"HIV-Related Mortality Rate (Age-Adjusted; Per 100,000 people)",2013,Both,Native American,69.2,"Phoenix, AZ"
HIV/AIDS,"HIV-Related Mortality Rate (Age-Adjusted; Per 100,000 people)",2012,Both,Native American,0,"Phoenix, AZ"
HIV/AIDS,"HIV-Related Mortality Rate (Age-Adjusted; Per 100,000 people)",2014,Both,Other,2.5,"Phoenix, AZ"
HIV/AIDS,"HIV-Related Mortality Rate (Age-Adjusted; Per 100,000 people)",2013,Both,Other,7.4,"Phoenix, AZ"
HIV/AIDS,"HIV-Related Mortality Rate (Age-Adjusted; Per 100,000 people)",2014,Both,White,5.8,"Phoenix, AZ"
HIV/AIDS,"HIV-Related Mortality Rate (Age-Adjusted; Per 100,000 people)",2013,Both,White,7,"Phoenix, AZ"
HIV/AIDS,"HIV-Related Mortality Rate (Age-Adjusted; Per 100,000 people)",2012,Both,White,8,"Phoenix, AZ"
Injury and Violence,"Homicide Rate (Age-Adjusted; Per 100,000 people)",2014,Male,All,13.3,"Phoenix, AZ"
Injury and Violence,"Homicide Rate (Age-Adjusted; Per 100,000 people)",2014,Female,All,2.3,"Phoenix, AZ"
Injury and Violence,"Homicide Rate (Age-Adjusted; Per 100,000 people)",2014,Both,All,7.8,"Phoenix, AZ"
Injury and Violence,"Homicide Rate (Age-Adjusted; Per 100,000 people)",2013,Male,All,10.6,"Phoenix, AZ"
Injury and Violence,"Homicide Rate (Age-Adjusted; Per 100,000 people)",2013,Female,All,2.9,"Phoenix, AZ"
Injury and Violence,"Homicide Rate (Age-Adjusted; Per 100,000 people)",2013,Both,All,6.7,"Phoenix, AZ"
Injury and Violence,"Homicide Rate (Age-Adjusted; Per 100,000 people)",2012,Male,All,12.8,"Phoenix, AZ"
Injury and Violence,"Homicide Rate (Age-Adjusted; Per 100,000 people)",2012,Female,All,4,"Phoenix, AZ"
Injury and Violence,"Homicide Rate (Age-Adjusted; Per 100,000 people)",2012,Both,All,8.4,"Phoenix, AZ"
Injury and Violence,"Homicide Rate (Age-Adjusted; Per 100,000 people)",2014,Both,Asian/PI,4.4,"Phoenix, AZ"
Injury and Violence,"Homicide Rate (Age-Adjusted; Per 100,000 people)",2013,Both,Asian/PI,0,"Phoenix, AZ"
Injury and Violence,"Homicide Rate (Age-Adjusted; Per 100,000 people)",2012,Both,Asian/PI,6.2,"Phoenix, AZ"
Injury and Violence,"Homicide Rate (Age-Adjusted; Per 100,000 people)",2014,Both,Black,20.2,"Phoenix, AZ"
Injury and Violence,"Homicide Rate (Age-Adjusted; Per 100,000 people)",2013,Both,Black,15,"Phoenix, AZ"
Injury and Violence,"Homicide Rate (Age-Adjusted; Per 100,000 people)",2012,Both,Black,25,"Phoenix, AZ"
Injury and Violence,"Homicide Rate (Age-Adjusted; Per 100,000 people)",2014,Both,Hispanic,9.2,"Phoenix, AZ"
Injury and Violence,"Homicide Rate (Age-Adjusted; Per 100,000 people)",2013,Both,Hispanic,8.9,"Phoenix, AZ"
Injury and Violence,"Homicide Rate (Age-Adjusted; Per 100,000 people)",2012,Both,Hispanic,10.1,"Phoenix, AZ"
Injury and Violence,"Homicide Rate (Age-Adjusted; Per 100,000 people)",2014,Both,Multiracial,0,"Phoenix, AZ"
Injury and Violence,"Homicide Rate (Age-Adjusted; Per 100,000 people)",2013,Both,Multiracial,2,"Phoenix, AZ"
Injury and Violence,"Homicide Rate (Age-Adjusted; Per 100,000 people)",2012,Both,Multiracial,2.3,"Phoenix, AZ"
Injury and Violence,"Homicide Rate (Age-Adjusted; Per 100,000 people)",2014,Both,Native American,10.2,"Phoenix, AZ"
Injury and Violence,"Homicide Rate (Age-Adjusted; Per 100,000 people)",2013,Both,Native American,3.5,"Phoenix, AZ"
Injury and Violence,"Homicide Rate (Age-Adjusted; Per 100,000 people)",2012,Both,Native American,10,"Phoenix, AZ"
Injury and Violence,"Homicide Rate (Age-Adjusted; Per 100,000 people)",2012,Both,Other,0.2,"Phoenix, AZ"
Injury and Violence,"Homicide Rate (Age-Adjusted; Per 100,000 people)",2014,Both,White,5,"Phoenix, AZ"
Injury and Violence,"Homicide Rate (Age-Adjusted; Per 100,000 people)",2013,Both,White,4,"Phoenix, AZ"
Injury and Violence,"Homicide Rate (Age-Adjusted; Per 100,000 people)",2012,Both,White,4.5,"Phoenix, AZ"
Maternal and Child Health,"Infant Mortality Rate (Per 1,000 live births)",2010,Both,All,6.7,"Phoenix, AZ"
Maternal and Child Health,"Infant Mortality Rate (Per 1,000 live births)",2013,Both,All,5.6,"Phoenix, AZ"
Maternal and Child Health,"Infant Mortality Rate (Per 1,000 live births)",2012,Both,All,6.4,"Phoenix, AZ"
Maternal and Child Health,"Infant Mortality Rate (Per 1,000 live births)",2011,Both,All,7.1,"Phoenix, AZ"
Maternal and Child Health,"Infant Mortality Rate (Per 1,000 live births)",2010,Both,Asian/PI,2.7,"Phoenix, AZ"
Maternal and Child Health,"Infant Mortality Rate (Per 1,000 live births)",2013,Both,Asian/PI,2.4,"Phoenix, AZ"
Maternal and Child Health,"Infant Mortality Rate (Per 1,000 live births)",2012,Both,Asian/PI,1.1,"Phoenix, AZ"
Maternal and Child Health,"Infant Mortality Rate (Per 1,000 live births)",2011,Both,Asian/PI,6.1,"Phoenix, AZ"
Maternal and Child Health,"Infant Mortality Rate (Per 1,000 live births)",2010,Both,Black,12.1,"Phoenix, AZ"
Maternal and Child Health,"Infant Mortality Rate (Per 1,000 live births)",2013,Both,Black,8.7,"Phoenix, AZ"
Maternal and Child Health,"Infant Mortality Rate (Per 1,000 live births)",2012,Both,Black,11.4,"Phoenix, AZ"
Maternal and Child Health,"Infant Mortality Rate (Per 1,000 live births)",2011,Both,Black,7.5,"Phoenix, AZ"
Maternal and Child Health,"Infant Mortality Rate (Per 1,000 live births)",2010,Both,Hispanic,7.3,"Phoenix, AZ"
Maternal and Child Health,"Infant Mortality Rate (Per 1,000 live births)",2013,Both,Hispanic,6.2,"Phoenix, AZ"
Maternal and Child Health,"Infant Mortality Rate (Per 1,000 live births)",2012,Both,Hispanic,7.2,"Phoenix, AZ"
Maternal and Child Health,"Infant Mortality Rate (Per 1,000 live births)",2011,Both,Hispanic,7.5,"Phoenix, AZ"
Maternal and Child Health,"Infant Mortality Rate (Per 1,000 live births)",2010,Both,Native American,1.5,"Phoenix, AZ"
Maternal and Child Health,"Infant Mortality Rate (Per 1,000 live births)",2013,Both,Native American,0,"Phoenix, AZ"
Maternal and Child Health,"Infant Mortality Rate (Per 1,000 live births)",2012,Both,Native American,2.9,"Phoenix, AZ"
Maternal and Child Health,"Infant Mortality Rate (Per 1,000 live births)",2011,Both,Native American,3,"Phoenix, AZ"
Maternal and Child Health,"Infant Mortality Rate (Per 1,000 live births)",2010,Both,Other,14.3,"Phoenix, AZ"
Maternal and Child Health,"Infant Mortality Rate (Per 1,000 live births)",2012,Both,Other,17.9,"Phoenix, AZ"
Maternal and Child Health,"Infant Mortality Rate (Per 1,000 live births)",2011,Both,Other,16.7,"Phoenix, AZ"
Maternal and Child Health,"Infant Mortality Rate (Per 1,000 live births)",2010,Both,White,4.6,"Phoenix, AZ"
Maternal and Child Health,"Infant Mortality Rate (Per 1,000 live births)",2013,Both,White,4.1,"Phoenix, AZ"
Maternal and Child Health,"Infant Mortality Rate (Per 1,000 live births)",2012,Both,White,4.7,"Phoenix, AZ"
Maternal and Child Health,"Infant Mortality Rate (Per 1,000 live births)",2011,Both,White,6.2,"Phoenix, AZ"
Life Expectancy and Death Rate (Overall),Life Expectancy at Birth (Years),2004-2013,Both,All,80,"Phoenix, AZ"
Cancer,"Lung Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)",2013,Male,All,27.9,"Phoenix, AZ"
Maternal and Child Health,Percent of Low Birth Weight Babies Born,2011,Both,Black,11.3,"Portland (Multnomah County), OR"
Cancer,"Lung Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)",2013,Female,All,25.5,"Phoenix, AZ"
Cancer,"Lung Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)",2013,Both,All,26.9,"Phoenix, AZ"
Cancer,"Lung Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)",2012,Male,All,27,"Phoenix, AZ"
Cancer,"Lung Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)",2012,Female,All,29.4,"Phoenix, AZ"
Cancer,"Lung Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)",2012,Both,All,28.4,"Phoenix, AZ"
Cancer,"Lung Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)",2011,Male,All,25.4,"Phoenix, AZ"
Cancer,"Lung Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)",2011,Female,All,24.2,"Phoenix, AZ"
Cancer,"Lung Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)",2011,Both,All,25,"Phoenix, AZ"
Cancer,"Lung Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)",2010,Male,All,23.8,"Phoenix, AZ"
Cancer,"Lung Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)",2010,Female,All,26.7,"Phoenix, AZ"
Cancer,"Lung Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)",2010,Both,All,25.4,"Phoenix, AZ"
Cancer,"Lung Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)",2013,Both,Asian/PI,15.2,"Phoenix, AZ"
Cancer,"Lung Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)",2012,Both,Asian/PI,15.8,"Phoenix, AZ"
Cancer,"Lung Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)",2011,Both,Asian/PI,17.1,"Phoenix, AZ"
Cancer,"Lung Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)",2010,Both,Asian/PI,15.4,"Phoenix, AZ"
Cancer,"Lung Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)",2013,Both,Black,27.2,"Phoenix, AZ"
Cancer,"Lung Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)",2012,Both,Black,32.4,"Phoenix, AZ"
Cancer,"Lung Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)",2011,Both,Black,24,"Phoenix, AZ"
Cancer,"Lung Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)",2010,Both,Black,20.5,"Phoenix, AZ"
Cancer,"Lung Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)",2013,Both,Hispanic,5.5,"Phoenix, AZ"
Cancer,"Lung Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)",2012,Both,Hispanic,4.9,"Phoenix, AZ"
Cancer,"Lung Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)",2011,Both,Hispanic,4.7,"Phoenix, AZ"
Cancer,"Lung Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)",2010,Both,Hispanic,0,"Phoenix, AZ"
Cancer,"Lung Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)",2013,Both,Multiracial,12.4,"Phoenix, AZ"
Cancer,"Lung Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)",2012,Both,Multiracial,7.8,"Phoenix, AZ"
Cancer,"Lung Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)",2011,Both,Multiracial,5.6,"Phoenix, AZ"
Cancer,"Lung Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)",2010,Both,Multiracial,0,"Phoenix, AZ"
Cancer,"Lung Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)",2013,Both,Native American,4.5,"Phoenix, AZ"
Cancer,"Lung Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)",2012,Both,Native American,7.1,"Phoenix, AZ"
Infectious Disease,Percent of Adults Over Age 65 Who Received Pneumonia Vaccine,2013,Male,All,0.1,"Phoenix, AZ"
Cancer,"Lung Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)",2011,Both,Native American,0,"Phoenix, AZ"
Cancer,"Lung Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)",2010,Both,Native American,0,"Phoenix, AZ"
Cancer,"Lung Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)",2012,Both,Other,0.6,"Phoenix, AZ"
Cancer,"Lung Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)",2010,Both,Other,0.3,"Phoenix, AZ"
Cancer,"Lung Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)",2013,Both,White,42.4,"Phoenix, AZ"
Cancer,"Lung Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)",2012,Both,White,33.6,"Phoenix, AZ"
Cancer,"Lung Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)",2011,Both,White,40.6,"Phoenix, AZ"
Cancer,"Lung Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)",2010,Both,White,46.8,"Phoenix, AZ"
Demographics,Median Household Income (Dollars),2012,Both,All,44153,"Phoenix, AZ"
Demographics,Median Household Income (Dollars),2013,Both,All,46601,"Phoenix, AZ"
Injury and Violence,"Motor Vehicle Mortality Rate (Age-Adjusted; Per 100,000 people)",2014,Male,All,13.9,"Phoenix, AZ"
Injury and Violence,"Motor Vehicle Mortality Rate (Age-Adjusted; Per 100,000 people)",2014,Female,All,6,"Phoenix, AZ"
Injury and Violence,"Motor Vehicle Mortality Rate (Age-Adjusted; Per 100,000 people)",2014,Both,All,10,"Phoenix, AZ"
Injury and Violence,"Motor Vehicle Mortality Rate (Age-Adjusted; Per 100,000 people)",2013,Male,All,13,"Phoenix, AZ"
Injury and Violence,"Motor Vehicle Mortality Rate (Age-Adjusted; Per 100,000 people)",2013,Female,All,5.3,"Phoenix, AZ"
Injury and Violence,"Motor Vehicle Mortality Rate (Age-Adjusted; Per 100,000 people)",2013,Both,All,9.1,"Phoenix, AZ"
Injury and Violence,"Motor Vehicle Mortality Rate (Age-Adjusted; Per 100,000 people)",2012,Male,All,11,"Phoenix, AZ"
Injury and Violence,"Motor Vehicle Mortality Rate (Age-Adjusted; Per 100,000 people)",2012,Female,All,6.4,"Phoenix, AZ"
Injury and Violence,"Motor Vehicle Mortality Rate (Age-Adjusted; Per 100,000 people)",2012,Both,All,8.7,"Phoenix, AZ"
Injury and Violence,"Motor Vehicle Mortality Rate (Age-Adjusted; Per 100,000 people)",2014,Both,Asian/PI,5.8,"Phoenix, AZ"
Injury and Violence,"Motor Vehicle Mortality Rate (Age-Adjusted; Per 100,000 people)",2013,Both,Asian/PI,0,"Phoenix, AZ"
Injury and Violence,"Motor Vehicle Mortality Rate (Age-Adjusted; Per 100,000 people)",2012,Both,Asian/PI,5.4,"Phoenix, AZ"
Injury and Violence,"Motor Vehicle Mortality Rate (Age-Adjusted; Per 100,000 people)",2014,Both,Black,11.9,"Phoenix, AZ"
Injury and Violence,"Motor Vehicle Mortality Rate (Age-Adjusted; Per 100,000 people)",2013,Both,Black,8.7,"Phoenix, AZ"
Injury and Violence,"Motor Vehicle Mortality Rate (Age-Adjusted; Per 100,000 people)",2012,Both,Black,10.3,"Phoenix, AZ"
Injury and Violence,"Motor Vehicle Mortality Rate (Age-Adjusted; Per 100,000 people)",2014,Both,Hispanic,9.3,"Phoenix, AZ"
Injury and Violence,"Motor Vehicle Mortality Rate (Age-Adjusted; Per 100,000 people)",2013,Both,Hispanic,8.7,"Phoenix, AZ"
Infectious Disease,Percent of Adults Over Age 65 Who Received Pneumonia Vaccine,2013,Female,All,0.1,"Phoenix, AZ"
Injury and Violence,"Motor Vehicle Mortality Rate (Age-Adjusted; Per 100,000 people)",2012,Both,Hispanic,7.1,"Phoenix, AZ"
Injury and Violence,"Motor Vehicle Mortality Rate (Age-Adjusted; Per 100,000 people)",2014,Both,Multiracial,3.7,"Phoenix, AZ"
Injury and Violence,"Motor Vehicle Mortality Rate (Age-Adjusted; Per 100,000 people)",2013,Both,Multiracial,2.1,"Phoenix, AZ"
Injury and Violence,"Motor Vehicle Mortality Rate (Age-Adjusted; Per 100,000 people)",2012,Both,Multiracial,2.3,"Phoenix, AZ"
